"filename", "language", "YAML", "Dart", "comment", "blank", "total"
"d:\SEM Project\quick_shift\quick_shift\lib\constants.dart", "Dart", 0, -1, 0, 0, -1
"d:\SEM Project\quick_shift\quick_shift\lib\data_getter.dart", "Dart", 0, 11, 1, 3, 15
"d:\SEM Project\quick_shift\quick_shift\lib\screens\DashboardPages\dashboard_loader.dart", "Dart", 0, 1, 0, 0, 1
"d:\SEM Project\quick_shift\quick_shift\lib\screens\DashboardPages\driver_booking.dart", "Dart", 0, 262, 2, 6, 270
"d:\SEM Project\quick_shift\quick_shift\lib\screens\DashboardPages\driver_scaffold.dart", "Dart", 0, 198, 1, 2, 201
"d:\SEM Project\quick_shift\quick_shift\lib\screens\DashboardPages\user_booking.dart", "Dart", 0, 105, 1, 0, 106
"d:\SEM Project\quick_shift\quick_shift\lib\screens\DashboardPages\user_scaffold.dart", "Dart", 0, -5, 1, 1, -3
"d:\SEM Project\quick_shift\quick_shift\lib\screens\dataLoader_box.dart", "Dart", 0, -25, -1, -4, -30
"d:\SEM Project\quick_shift\quick_shift\pubspec.yaml", "YAML", 2, 0, 0, 1, 3
"Total", "-", 2, 546, 5, 9, 562